term,refused_count,complied_count,log_odds
xls,14,8,0.5108256237659907
creating,44,26,0.5108256237659907
providers,14,8,0.5108256237659907
simulations,14,8,0.5108256237659907
telemetrycollector,19,11,0.5108256237659907
migrated,9,5,0.5108256237659907
exe,102,61,0.5075946031845442
traffic,155,93,0.506561224979533
threads,32,19,0.5007752879124892
backends,27,16,0.49899116611898775
ethereum,27,16,0.49899116611898775
passwd,22,13,0.49643688631389105
anomalous,22,13,0.49643688631389105
sandbox,127,77,0.49532143723002536
coordinated,40,24,0.49469624183610694
ranges,17,10,0.4924764850977942
loglevel,17,10,0.4924764850977942
naming,17,10,0.4924764850977942
packet,174,106,0.4919571394616079
parent,48,29,0.49062291644847117
yara,79,48,0.49020633656325496
outbound,30,18,0.48954822531870573
pseudocode,92,56,0.48954822531870573
operational,56,34,0.4877032063451364
university,25,15,0.48550781578170077
parity,12,7,0.48550781578170077
managers,12,7,0.48550781578170077
transfers,12,7,0.48550781578170077
recursively,33,20,0.4818380868927384
sequence,264,163,0.47986339816202384
distribution,188,116,0.4795730802618863
behavior,288,178,0.47904088227167707
std,128,79,0.4777857696877905
campaign,65,40,0.4760826753221178
usr,110,68,0.4754236967150748
temporary,36,22,0.4754236967150748
cryptographic,44,27,0.4744579795951158
template,240,149,0.47416163939439926
crowdstrike,52,32,0.4737843520856415
initializing,39,24,0.4700036292457356
interrupted,7,4,0.4700036292457356
respects,7,4,0.4700036292457356
configuring,7,4,0.4700036292457356
trails,7,4,0.4700036292457356
txt,90,56,0.4678082386822999
sets,58,36,0.4666195312614949
digital,50,31,0.4660897299245992
zeek,26,16,0.4626235219481129
collector,121,76,0.46021562287957274
silently,18,11,0.4595323293784401
persistence,56,35,0.4595323293784401
wallet,18,11,0.4595323293784401
falcon,48,30,0.4578330936254803
domains,29,18,0.45675840249571487
artifacts,179,113,0.45675840249571487
collection,267,169,0.45518854346059484
dictionary,73,46,0.4539174914941112
listeners,21,13,0.4519851237430572
conventions,10,6,0.4519851237430572
intrusion,10,6,0.4519851237430572
organizations,10,6,0.4519851237430572
substitute,10,6,0.4519851237430572
follows,71,45,0.44802472252696035
bin,143,91,0.44802472252696035
priority,60,38,0.4473122180436648
artifact,121,77,0.4473122180436648
analyze,426,272,0.4473122180436648
minutes,24,15,0.4462871026284195
gcm,49,31,0.4462871026284195
isolated,252,161,0.44579315349513615
apache,38,24,0.4446858212614457
office,13,8,0.44183275227903923
protection,223,143,0.44183275227903923
establishment,41,26,0.44183275227903923
resets,13,8,0.44183275227903923
integer,13,8,0.44183275227903923
recognize,30,19,0.43825493093115525
analysts,78,50,0.4376222197426957
reporter,16,10,0.4353180712578455
auditing,36,23,0.4328640822962789
capacity,39,25,0.4307829160924543
technical,85,55,0.4289956055183585
backup,45,29,0.42744401482693967
parses,22,14,0.42744401482693967
mod,22,14,0.42744401482693967
gather,22,14,0.42744401482693967
addeventlistener,25,16,0.42488319396526586
registry,109,71,0.4238142467763608
bssid,34,22,0.419853845560264
implementation,824,547,0.4091080993866654
ppt,8,5,0.4054651081081644
litecoin,8,5,0.4054651081081644
compressed,26,17,0.4054651081081644
staged,20,13,0.4054651081081644
placed,8,5,0.4054651081081644
suppress,8,5,0.4054651081081644
sigterm,20,13,0.4054651081081644
mimic,8,5,0.4054651081081644
platforms,87,58,0.399799370572487
signatures,351,235,0.399799370572487
timing,295,198,0.397054629599568
family,54,36,0.39641527258824644
behaviors,48,32,0.3953127366441464
connectivity,113,76,0.39239302654081165
xlsx,24,16,0.38566248081198473
installation,43,29,0.3829922522561057
edu,21,14,0.3829922522561057
requirements,197,134,0.3829922522561057
redirection,21,14,0.3829922522561057
encrypted,180,123,0.3782154656607889
operations,267,183,0.3760512229018711
urandom,15,10,0.3746934494414107
runtimeerror,15,10,0.3746934494414107
learn,76,52,0.37351350830156194
abuse,28,19,0.371563556432483
installed,28,19,0.371563556432483
downgrade,28,19,0.371563556432483
storage,167,115,0.37037378829689427
interrupt,12,8,0.36772478012531734
insights,22,15,0.3629054936893685
signature,351,244,0.36237296505337
impacket,32,22,0.3610133455373305
rubric,75,52,0.3604414267342092
identify,334,233,0.358809416467365
certs,19,13,0.3566749439387324
deploys,9,6,0.3566749439387324
cache,83,58,0.35327935493759416
mutex,36,25,0.35282137462274243
directories,73,51,0.35282137462274243
enterprise,218,153,0.3521191274028716
defensive,26,18,0.35139788683788853
auto,214,151,0.3467575072813864
sophisticated,23,16,0.3448404862917296
orchestration,134,95,0.3409265869705932
credential,497,354,0.33848228754923704
flag,205,146,0.33744358201084473
listed,6,4,0.33647223662121284
addlistener,13,9,0.33647223662121284
blinkmacsystemfont,6,4,0.33647223662121284
satisfy,6,4,0.33647223662121284
zones,6,4,0.33647223662121284
udp,59,42,0.33314444652853825
allocated,45,32,0.3321338350226148
manager,84,60,0.33177739231700515
writestring,31,22,0.33024168687057676
channels,96,69,0.32621573645402374
ruby,17,12,0.3254224004346279
resolved,17,12,0.3254224004346279
solutions,28,20,0.32277339226305096
dfor,32,23,0.3184537311185346
planning,10,7,0.3184537311185346
relationship,10,7,0.3184537311185346
darwin,10,7,0.3184537311185346
primitives,36,26,0.3150810466398954
package,226,165,0.3129622291248593
stores,40,29,0.3123746850421524
utility,96,70,0.3120311014620673
traversal,55,40,0.3117796240308415
edr,403,295,0.3110554236370897
exfil,14,10,0.3101549283038394
rpc,14,10,0.3101549283038394
methodologies,14,10,0.3101549283038394
protect,18,13,0.30538164955118186
compromised,37,27,0.30538164955118186
wrapper,18,13,0.30538164955118186
child,18,13,0.30538164955118186
parameters,174,128,0.3049735695618419
following,144,106,0.3039049079586682
viewport,22,16,0.3022808718729336
option,26,19,0.3001045924503381
deterministic,26,19,0.3001045924503381
buffers,30,22,0.29849298855599654
automation,69,51,0.2972515234679317
guidance,42,31,0.29546421289383584
opt,42,31,0.29546421289383584
enumeration,205,153,0.2909235663759518
initialize,316,236,0.29084163274214947
directive,142,106,0.29001579579800113
reachability,11,8,0.28768207245178085
terminate,15,11,0.28768207245178085
pptx,11,8,0.28768207245178085
iterates,7,5,0.28768207245178085
annual,11,8,0.28768207245178085
weak,15,11,0.28768207245178085
recover,11,8,0.28768207245178085
obtain,7,5,0.28768207245178085
teams,63,47,0.28768207245178085
trusted,7,5,0.28768207245178085
traces,7,5,0.28768207245178085
provisioned,15,11,0.28768207245178085
volatile,11,8,0.28768207245178085
